time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T14:34:30,19.46,161.44,2.8,0.0
2025-07-07T14:34:35,20.42,63.62,5.6,0.0
2025-07-07T14:34:40,18.34,76.15,8.8,0.0
2025-07-07T14:34:45,19.82,174.34,11.2,0.0
2025-07-07T14:34:50,15.97,43.18,14.8,0.0
2025-07-07T14:34:55,17.48,117.28,17.2,0.0
2025-07-07T14:35:00,17.32,67.78,19.6,0.0
2025-07-07T14:35:05,15.28,54.25,19.2,0.0
2025-07-07T14:35:10,16.79,70.3,19.6,0.0
2025-07-07T14:35:15,16.97,93.73,20.0,0.0
2025-07-07T14:35:20,15.28,64.36,19.6,0.0
2025-07-07T14:35:25,15.07,55.14,20.0,0.0
2025-07-07T14:35:30,16.78,52.44,19.6,0.0
2025-07-07T14:35:35,15.81,53.03,19.2,0.0
2025-07-07T14:35:40,18.86,72.15,20.0,0.0
2025-07-07T14:35:45,18.06,77.26,19.6,0.0
2025-07-07T14:35:50,14.81,47.48,20.0,0.0
2025-07-07T14:35:55,17.17,62.62,19.6,0.0
2025-07-07T14:36:00,18.59,57.44,19.2,0.0
2025-07-07T14:36:05,17.84,90.71,14.0,0.0
2025-07-07T14:36:10,27.97,136.76,10.0,0.0
2025-07-07T14:36:15,27.96,109.01,4.8,0.0
2025-07-07T14:36:20,18.89,71.08,1.2,0.0
