time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T14:38:20,14.32,36.28,0.8,50.0
2025-07-07T14:38:25,6.54,13.82,3.6,50.0
2025-07-07T14:38:30,6.74,23.51,6.8,50.0
2025-07-07T14:38:35,5.11,35.28,9.6,50.0
2025-07-07T14:38:40,5.41,12.59,12.4,50.0
2025-07-07T14:38:45,7.67,46.62,15.2,50.0
2025-07-07T14:38:50,5.35,32.0,18.8,50.0
2025-07-07T14:38:55,4.84,18.64,19.6,50.0
2025-07-07T14:39:00,4.57,12.96,20.0,50.0
2025-07-07T14:39:05,4.57,14.4,20.0,50.0
2025-07-07T14:39:10,6.11,39.03,20.0,50.0
2025-07-07T14:39:15,7.18,37.86,20.0,50.0
2025-07-07T14:39:20,4.92,14.0,20.0,50.0
2025-07-07T14:39:25,5.21,23.49,20.0,50.0
2025-07-07T14:39:30,5.76,15.85,20.0,50.0
2025-07-07T14:39:35,6.8,54.01,19.6,50.0
2025-07-07T14:39:40,5.51,30.44,19.2,50.0
2025-07-07T14:39:45,6.02,33.81,20.0,50.0
2025-07-07T14:39:50,5.4,22.41,20.0,50.0
2025-07-07T14:39:55,5.72,25.02,16.8,50.0
2025-07-07T14:40:00,5.71,15.77,12.0,50.0
2025-07-07T14:40:05,4.86,11.09,7.2,50.0
2025-07-07T14:40:10,4.92,13.91,2.0,50.0
