time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T14:42:15,322.49,726.45,4.4,0.0
2025-07-07T14:42:20,312.26,691.84,11.2,0.0
2025-07-07T14:42:25,343.75,739.93,15.2,0.0
2025-07-07T14:42:30,437.09,1097.61,18.8,0.0
2025-07-07T14:42:35,600.61,1500.7,18.2,0.0
2025-07-07T14:42:40,807.54,2273.11,21.6,0.0
2025-07-07T14:42:45,900.17,2841.1,20.2,0.0
2025-07-07T14:42:50,1035.4,2310.01,19.4,0.0
2025-07-07T14:42:55,1053.43,2812.0,20.4,0.0
2025-07-07T14:43:00,961.95,3033.86,19.8,0.0
2025-07-07T14:43:05,997.47,2586.86,17.8,0.0
2025-07-07T14:43:10,1096.6,3094.75,18.6,0.0
2025-07-07T14:43:15,1132.03,3416.58,20.2,0.0
2025-07-07T14:43:20,1070.91,3258.39,21.2,0.0
2025-07-07T14:43:25,883.88,2402.48,18.4,0.0
2025-07-07T14:43:30,1074.6,2816.08,19.0,0.0
2025-07-07T14:43:35,1061.08,2670.27,22.8,0.0
2025-07-07T14:43:40,929.98,2871.29,18.6,0.0
2025-07-07T14:43:45,1046.78,2606.9,18.2,0.0
2025-07-07T14:43:50,1106.05,2722.42,21.0,0.0
2025-07-07T14:43:55,1003.68,3105.17,20.0,0.0
2025-07-07T14:44:00,947.68,2738.44,19.2,0.0
2025-07-07T14:44:05,1037.04,2991.14,18.2,0.0
2025-07-07T14:44:10,1117.41,2835.45,20.4,0.0
2025-07-07T14:44:15,1110.75,2972.56,20.6,0.0
2025-07-07T14:44:20,1015.25,3151.51,18.8,0.0
2025-07-07T14:44:25,918.73,2977.77,18.0,0.0
2025-07-07T14:44:30,1051.79,3044.91,17.6,0.0
2025-07-07T14:44:35,1234.24,2887.63,23.4,0.0
2025-07-07T14:44:40,954.03,2758.84,18.2,0.0
2025-07-07T14:44:45,982.98,3258.42,18.0,0.0
2025-07-07T14:44:50,832.68,2093.97,17.8,0.0
2025-07-07T14:44:55,432.21,1349.45,14.2,0.0
2025-07-07T14:45:00,237.93,377.4,5.6,0.0
