time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T14:47:05,2151.08,2756.37,12.0,0.0
2025-07-07T14:47:10,361.91,2102.9,44.4,0.0
2025-07-07T14:47:15,329.29,1962.09,32.2,0.0
2025-07-07T14:47:20,350.36,2450.72,42.8,0.0
2025-07-07T14:47:25,172.74,1242.57,36.0,0.56
2025-07-07T14:47:30,452.45,2626.38,39.8,0.0
2025-07-07T14:47:35,111.57,938.88,38.8,0.52
2025-07-07T14:47:40,458.14,1935.78,38.6,0.0
2025-07-07T14:47:45,121.62,986.51,42.2,0.47
2025-07-07T14:47:50,389.07,1960.81,38.4,0.0
2025-07-07T14:47:55,123.66,912.7,41.8,0.0
2025-07-07T14:48:00,349.32,1850.08,39.0,0.0
2025-07-07T14:48:05,20.54,144.37,33.8,0.0
2025-07-07T14:48:10,10.42,24.75,0.6,0.0
