time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:44:45,20.68,91.36,1.2,0.0
2025-07-07T11:44:50,12.53,60.56,4.4,0.0
2025-07-07T11:44:55,20.05,110.49,7.2,0.0
2025-07-07T11:45:00,14.52,78.41,10.0,0.0
2025-07-07T11:45:05,16.02,54.68,13.2,0.0
2025-07-07T11:45:10,15.47,48.92,16.0,0.0
2025-07-07T11:45:15,14.29,44.73,18.8,0.0
2025-07-07T11:45:20,16.26,51.67,20.0,0.0
2025-07-07T11:45:25,15.34,47.35,19.6,0.0
2025-07-07T11:45:30,15.04,74.77,19.6,0.0
2025-07-07T11:45:35,16.9,74.07,20.0,0.0
2025-07-07T11:45:40,13.91,44.06,20.0,0.0
2025-07-07T11:45:45,16.06,62.22,19.6,0.0
2025-07-07T11:45:50,15.13,53.08,19.6,0.0
2025-07-07T11:45:55,15.01,50.27,19.2,0.0
2025-07-07T11:46:00,16.19,81.71,20.0,0.0
2025-07-07T11:46:05,15.67,47.06,19.2,0.0
2025-07-07T11:46:10,14.83,53.38,19.6,0.0
2025-07-07T11:46:15,16.47,45.81,19.6,0.0
2025-07-07T11:46:20,15.92,49.45,17.2,0.0
2025-07-07T11:46:25,13.91,58.51,12.0,0.0
2025-07-07T11:46:30,19.71,48.17,6.8,0.0
2025-07-07T11:46:35,18.3,47.2,2.8,0.0
