time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:48:40,9.15,17.45,2.4,50.0
2025-07-07T11:48:45,5.73,21.29,5.2,50.0
2025-07-07T11:48:50,4.21,9.37,8.4,50.0
2025-07-07T11:48:55,5.65,19.48,11.2,50.0
2025-07-07T11:49:00,6.58,43.82,14.4,50.0
2025-07-07T11:49:05,5.95,36.66,17.2,50.0
2025-07-07T11:49:10,5.33,32.89,19.6,50.0
2025-07-07T11:49:15,5.53,25.58,20.0,50.0
2025-07-07T11:49:20,4.37,9.16,20.0,50.0
2025-07-07T11:49:25,4.29,27.16,19.2,50.0
2025-07-07T11:49:30,4.33,18.47,20.0,50.0
2025-07-07T11:49:35,4.23,9.04,20.0,50.0
2025-07-07T11:49:40,4.29,14.38,20.0,50.0
2025-07-07T11:49:45,5.5,29.1,19.6,50.0
2025-07-07T11:49:50,4.65,14.57,20.0,50.0
2025-07-07T11:49:55,4.48,14.62,20.0,50.0
2025-07-07T11:50:00,5.14,21.49,20.0,50.0
2025-07-07T11:50:05,5.0,22.73,20.0,50.0
2025-07-07T11:50:10,5.43,21.04,18.8,50.0
2025-07-07T11:50:15,4.4,17.62,14.0,50.0
2025-07-07T11:50:20,3.75,9.66,9.2,50.0
2025-07-07T11:50:25,6.08,29.3,4.4,50.0
2025-07-07T11:50:30,4.32,4.320864,0.4,50.0
