time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:52:30,419.33,589.57,1.8,0.0
2025-07-07T11:52:35,306.83,519.82,7.6,0.0
2025-07-07T11:52:40,317.06,968.21,13.8,0.0
2025-07-07T11:52:45,376.51,937.01,17.4,0.0
2025-07-07T11:52:50,517.75,1442.99,19.6,0.0
2025-07-07T11:52:55,732.08,2032.57,19.2,0.0
2025-07-07T11:53:00,987.25,2455.99,19.6,0.0
2025-07-07T11:53:05,1022.15,3148.43,17.8,0.0
2025-07-07T11:53:10,1165.49,2698.6,17.0,0.0
2025-07-07T11:53:15,1353.51,3398.65,21.0,0.0
2025-07-07T11:53:20,845.36,2811.31,20.0,0.0
2025-07-07T11:53:25,965.33,2779.14,17.2,0.0
2025-07-07T11:53:30,1066.32,2840.39,18.4,0.0
2025-07-07T11:53:35,1356.6,2849.76,21.4,0.0
2025-07-07T11:53:40,916.17,3005.92,18.6,0.0
2025-07-07T11:53:45,1098.13,3071.57,18.0,0.0
2025-07-07T11:53:50,1022.08,2942.32,17.0,0.0
2025-07-07T11:53:55,1282.81,2940.07,17.2,0.0
2025-07-07T11:54:00,1303.53,2970.12,21.2,0.0
2025-07-07T11:54:05,915.43,2725.95,19.2,0.0
2025-07-07T11:54:10,1059.38,3318.4,15.6,0.0
2025-07-07T11:54:15,1193.61,3270.12,17.2,0.0
2025-07-07T11:54:20,1335.62,3093.63,22.0,0.0
2025-07-07T11:54:25,904.76,2730.91,19.2,0.0
2025-07-07T11:54:30,962.74,3009.74,18.4,0.0
2025-07-07T11:54:35,1089.21,2629.66,19.2,0.0
2025-07-07T11:54:40,1137.74,2706.73,20.8,0.0
2025-07-07T11:54:45,845.2,2604.78,19.6,0.0
2025-07-07T11:54:50,1066.94,2916.69,18.6,0.0
2025-07-07T11:54:55,1069.43,2874.79,18.4,0.0
2025-07-07T11:55:00,1172.58,2907.99,22.4,0.0
2025-07-07T11:55:05,638.85,2261.75,18.4,0.0
2025-07-07T11:55:10,622.46,1724.15,16.6,0.0
2025-07-07T11:55:15,335.64,832.42,10.0,0.0
2025-07-07T11:55:20,215.26,278.62,1.2,0.0
