time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:57:25,1650.82,2651.34,25.6,0.0
2025-07-07T11:57:30,17.16,40.22,49.6,0.0
2025-07-07T11:57:35,834.17,3041.6,25.2,0.0
2025-07-07T11:57:40,92.25,1251.98,49.2,0.0
2025-07-07T11:57:45,672.39,2449.0,27.8,0.0
2025-07-07T11:57:50,139.5,2350.85,47.2,0.0
2025-07-07T11:57:55,431.38,1862.72,30.4,0.0
2025-07-07T11:58:00,219.14,2921.66,46.4,0.0
2025-07-07T11:58:05,386.47,1580.0,34.6,0.0
2025-07-07T11:58:10,111.85,1829.66,47.8,0.0
2025-07-07T11:58:15,375.49,1748.42,32.0,0.0
2025-07-07T11:58:20,161.87,1840.04,46.2,0.0
2025-07-07T11:58:25,12.05,43.18,18.0,0.0
