time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T10:19:45,16.25,69.57,1.6,0.0
2025-07-07T10:19:50,10.87,50.52,4.4,0.0
2025-07-07T10:19:55,22.24,84.89,7.6,0.0
2025-07-07T10:20:00,14.68,47.62,10.4,0.0
2025-07-07T10:20:05,13.04,40.18,13.6,0.0
2025-07-07T10:20:10,15.29,78.98,16.4,0.0
2025-07-07T10:20:15,16.18,57.09,19.2,0.0
2025-07-07T10:20:20,14.54,44.7,19.6,0.0
2025-07-07T10:20:25,15.89,58.09,20.0,0.0
2025-07-07T10:20:30,15.07,48.68,19.6,0.0
2025-07-07T10:20:35,15.8,72.29,20.0,0.0
2025-07-07T10:20:40,14.64,42.15,18.8,0.0
2025-07-07T10:20:45,14.54,40.89,20.0,0.0
2025-07-07T10:20:50,15.81,48.62,19.6,0.0
2025-07-07T10:20:55,14.62,69.65,20.0,0.0
2025-07-07T10:21:00,14.85,60.53,19.6,0.0
2025-07-07T10:21:05,14.3,51.62,19.6,0.0
2025-07-07T10:21:10,13.98,62.91,20.0,0.0
2025-07-07T10:21:15,15.76,51.37,19.6,0.0
2025-07-07T10:21:20,15.05,46.94,16.0,0.0
2025-07-07T10:21:25,12.52,36.78,11.6,0.0
2025-07-07T10:21:30,15.63,45.35,6.4,0.0
2025-07-07T10:21:35,23.9,44.49,2.0,0.0
