time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T10:23:40,9.08,29.39,2.8,50.0
2025-07-07T10:23:45,4.69,7.75,5.6,50.0
2025-07-07T10:23:50,5.9,38.23,8.8,50.0
2025-07-07T10:23:55,4.61,25.3,11.6,50.0
2025-07-07T10:24:00,5.16,22.85,14.8,50.0
2025-07-07T10:24:05,3.91,6.12,17.6,50.0
2025-07-07T10:24:10,4.55,13.41,20.0,50.0
2025-07-07T10:24:15,5.78,48.36,19.6,50.0
2025-07-07T10:24:20,4.29,12.22,20.0,50.0
2025-07-07T10:24:25,4.56,26.09,19.6,50.0
2025-07-07T10:24:30,4.2,12.14,20.0,50.0
2025-07-07T10:24:35,4.5,14.84,19.6,50.0
2025-07-07T10:24:40,4.55,23.29,20.0,50.0
2025-07-07T10:24:45,4.43,8.69,20.0,50.0
2025-07-07T10:24:50,5.35,25.02,20.0,50.0
2025-07-07T10:24:55,5.0,14.39,20.0,50.0
2025-07-07T10:25:00,4.99,25.4,20.0,50.0
2025-07-07T10:25:05,4.89,19.57,19.6,50.0
2025-07-07T10:25:10,5.49,29.87,18.4,50.0
2025-07-07T10:25:15,5.23,32.06,13.6,50.0
2025-07-07T10:25:20,4.71,17.37,8.4,50.0
2025-07-07T10:25:25,3.69,5.43,4.0,50.0
