time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T10:27:30,252.95,385.87,3.6,0.0
2025-07-07T10:27:35,324.13,681.21,8.6,0.0
2025-07-07T10:27:40,454.44,1327.83,12.4,0.0
2025-07-07T10:27:45,584.56,1824.83,15.6,0.0
2025-07-07T10:27:50,599.72,2035.97,15.0,0.0
2025-07-07T10:27:55,890.21,2447.57,15.8,0.0
2025-07-07T10:28:00,1420.8,3234.64,20.8,0.0
2025-07-07T10:28:05,1207.35,3309.7,17.0,0.0
2025-07-07T10:28:10,1141.46,3602.16,17.4,0.0
2025-07-07T10:28:15,1116.38,3273.91,18.2,0.0
2025-07-07T10:28:20,1025.21,2899.15,17.4,0.0
2025-07-07T10:28:25,1262.54,3394.78,15.4,0.0
2025-07-07T10:28:30,1271.51,2782.87,16.0,0.0
2025-07-07T10:28:35,1364.46,3150.29,22.0,0.0
2025-07-07T10:28:40,914.39,2969.62,19.6,0.0
2025-07-07T10:28:45,922.18,2815.54,19.6,0.0
2025-07-07T10:28:50,946.04,2718.44,17.6,0.0
2025-07-07T10:28:55,1178.02,2767.53,22.0,0.0
2025-07-07T10:29:00,940.28,2710.52,21.2,0.94
2025-07-07T10:29:05,826.19,2816.19,19.6,0.0
2025-07-07T10:29:10,989.41,2906.33,17.4,0.0
2025-07-07T10:29:15,1225.88,3142.66,23.2,0.0
2025-07-07T10:29:20,779.15,2792.75,21.2,0.0
2025-07-07T10:29:25,1070.22,2936.71,16.6,0.0
2025-07-07T10:29:30,1008.17,3055.52,19.8,0.0
2025-07-07T10:29:35,1142.11,3289.14,23.0,0.0
2025-07-07T10:29:40,789.64,2831.87,19.6,0.0
2025-07-07T10:29:45,887.13,2532.52,18.8,0.0
2025-07-07T10:29:50,1163.54,2533.06,23.6,0.0
2025-07-07T10:29:55,957.81,3106.14,20.0,0.0
2025-07-07T10:30:00,842.51,2850.25,18.4,0.0
2025-07-07T10:30:05,1052.92,2598.42,19.2,0.0
2025-07-07T10:30:10,392.25,1344.66,15.2,0.0
2025-07-07T10:30:15,263.2,616.48,8.4,0.0
2025-07-07T10:30:20,202.97,286.62,1.0,0.0
