time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T10:32:20,2603.89,2868.73,8.2,0.0
2025-07-07T10:32:25,720.21,2984.96,32.2,0.0
2025-07-07T10:32:30,65.13,873.82,42.2,0.47
2025-07-07T10:32:35,705.89,2825.38,31.2,0.0
2025-07-07T10:32:40,29.95,374.47,45.4,0.0
2025-07-07T10:32:45,823.42,4292.75,24.4,0.0
2025-07-07T10:32:50,247.68,5324.16,46.2,0.0
2025-07-07T10:32:55,421.39,1933.89,36.0,0.0
2025-07-07T10:33:00,74.2,746.32,45.8,0.0
2025-07-07T10:33:05,341.46,1477.39,37.4,0.0
2025-07-07T10:33:10,66.52,456.72,47.6,0.0
2025-07-07T10:33:15,630.37,3241.55,28.4,0.0
2025-07-07T10:33:20,100.24,1795.82,46.2,0.0
2025-07-07T10:33:25,13.02,39.74,8.8,0.0
