time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:05:10,7.8,9.17,1.6,50.0
2025-07-07T11:05:15,5.54,12.39,4.8,50.0
2025-07-07T11:05:20,4.86,10.6,7.6,50.0
2025-07-07T11:05:25,4.94,9.6,10.8,50.0
2025-07-07T11:05:30,5.45,29.34,13.6,50.0
2025-07-07T11:05:35,5.29,32.23,16.8,50.0
2025-07-07T11:05:40,5.27,20.2,19.6,50.0
2025-07-07T11:05:45,5.14,36.61,20.0,50.0
2025-07-07T11:05:50,5.44,51.16,20.0,50.0
2025-07-07T11:05:55,5.95,44.75,20.0,50.0
2025-07-07T11:06:00,6.29,29.17,19.6,50.0
2025-07-07T11:06:05,4.85,26.73,20.0,50.0
2025-07-07T11:06:10,4.81,48.07,19.2,50.0
2025-07-07T11:06:15,7.13,38.29,20.0,50.0
2025-07-07T11:06:20,5.22,21.82,20.0,50.0
2025-07-07T11:06:25,5.14,16.52,20.0,50.0
2025-07-07T11:06:30,5.55,26.12,19.6,50.0
2025-07-07T11:06:35,4.78,20.71,20.0,50.0
2025-07-07T11:06:40,4.84,11.65,19.6,50.0
2025-07-07T11:06:45,6.61,35.36,15.2,50.0
2025-07-07T11:06:50,5.49,29.34,9.6,50.0
2025-07-07T11:06:55,6.56,39.02,5.2,50.0
2025-07-07T11:07:00,6.08,9.79,0.8,50.0
