time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:09:00,272.23,459.38,1.4,0.0
2025-07-07T11:09:05,295.19,557.61,7.6,0.0
2025-07-07T11:09:10,320.56,798.97,11.8,0.0
2025-07-07T11:09:15,337.57,714.73,16.4,0.0
2025-07-07T11:09:20,599.62,1479.46,17.6,0.0
2025-07-07T11:09:25,617.59,1590.5,18.4,0.0
2025-07-07T11:09:30,933.68,3131.45,17.6,0.0
2025-07-07T11:09:35,1320.07,3044.27,23.0,0.0
2025-07-07T11:09:40,1001.73,3247.09,18.2,0.0
2025-07-07T11:09:45,854.91,3009.29,20.8,0.0
2025-07-07T11:09:50,920.46,2954.75,18.2,0.0
2025-07-07T11:09:55,1139.4,3062.65,19.6,0.0
2025-07-07T11:10:00,1216.6,3477.05,21.0,0.0
2025-07-07T11:10:05,997.41,3027.49,18.0,0.0
2025-07-07T11:10:10,971.09,2909.38,19.2,0.0
2025-07-07T11:10:15,1065.0,3311.91,16.2,0.0
2025-07-07T11:10:20,1165.89,3061.96,16.6,0.0
2025-07-07T11:10:25,1330.31,3386.3,20.2,0.0
2025-07-07T11:10:30,1184.1,2897.27,20.6,0.0
2025-07-07T11:10:35,1107.53,3230.77,17.2,0.0
2025-07-07T11:10:40,963.12,2790.03,19.0,0.0
2025-07-07T11:10:45,1037.64,2689.76,17.6,0.0
2025-07-07T11:10:50,1192.1,2691.24,22.6,0.0
2025-07-07T11:10:55,845.25,3126.26,19.2,0.0
2025-07-07T11:11:00,1086.57,2944.58,17.2,0.0
2025-07-07T11:11:05,1046.26,3012.01,18.0,0.0
2025-07-07T11:11:10,1240.07,2846.35,21.4,0.0
2025-07-07T11:11:15,945.45,3064.72,20.2,0.0
2025-07-07T11:11:20,949.29,2785.87,17.8,0.0
2025-07-07T11:11:25,1107.52,2957.86,17.8,0.0
2025-07-07T11:11:30,1209.5,3390.43,21.6,0.0
2025-07-07T11:11:35,795.04,2347.81,20.2,0.0
2025-07-07T11:11:40,563.71,1805.74,17.0,0.0
2025-07-07T11:11:45,276.87,657.34,12.2,0.0
2025-07-07T11:11:50,240.74,514.87,3.4,0.0
