time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-07T11:13:55,1803.01,2567.7,19.6,0.0
2025-07-07T11:14:00,97.71,2082.92,48.4,0.0
2025-07-07T11:14:05,731.19,2698.19,27.4,0.0
2025-07-07T11:14:10,158.2,1382.89,45.4,0.0
2025-07-07T11:14:15,368.36,2002.02,31.6,0.0
2025-07-07T11:14:20,192.13,2230.4,47.4,0.0
2025-07-07T11:14:25,346.41,1837.55,33.2,0.0
2025-07-07T11:14:30,222.25,2982.65,45.4,0.0
2025-07-07T11:14:35,406.08,2003.86,34.2,0.0
2025-07-07T11:14:40,162.06,985.01,44.6,0.0
2025-07-07T11:14:45,272.52,1578.09,34.8,0.0
2025-07-07T11:14:50,315.65,2833.17,42.8,0.0
2025-07-07T11:14:55,12.91,36.08,25.0,0.0
2025-07-07T11:15:00,7.37,7.367788,0.2,0.0
